LOINC_NUM,LONG_COMMON_NAME,reference_fact
30898-1,Plasma volume by Scintigraphy,Test: Plasma volume | System: ^Patient | Units: mL | Info: Total plasma volume determined using Iodine-125 labeled human serum albumin
104112-8,Mucopolysaccharidosis [Enzymatic activity/volume] in DBS,"Test: Mucopolysaccharidosis | System: Bld.dot | Units: umol/h/L | Info: This test is evaluate enzymatic activity to ruling out mucopolysaccharidosis types II, IIIA, IIIB, I"
20635-9,3-Methylhistidine [Moles/volume] in Serum or Plasma,Test: 3-Methylhistidine | System: Ser/Plas | Units: mcmol/dL; mcmol/L; umol/L | Info: Genetic metabolic specialist (from Canada) point out that plasma may be the traditional sample of ch
20636-7,Alanine [Moles/volume] in Serum or Plasma,Test: Alanine | System: Ser/Plas | Units: mcmol/dL; mcmol/L; umol/L | Info: Genetic metabolic specialist (from Canada) point out that plasma may be the traditional sample of ch
17855-8,Hemoglobin A1c/Hemoglobin.total in Blood by calculation,Test: Hemoglobin A1c/Hemoglobin.total | System: Bld | Units: % | Info: Changing from the property from Mass fraction to substance fraction has not effect on the meaning  w
104116-9,Multiple sulfatase deficiency [Enzymatic activity/volume] in DBS,"Test: Multiple sulfatase deficiency | System: Bld.dot | Units: umol/h/L | Info: This term is for a test is to rule out multiple sulfatase deficiency i.e., iduronate-2- sulfatase, h"
20637-5,Arginine [Moles/volume] in Serum or Plasma,Test: Arginine | System: Ser/Plas | Units: mcmol/dL; mcmol/L; umol/L | Info: Genetic metabolic specialist (from Canada) point out that plasma may be the traditional sample of ch
20638-3,Asparagine [Moles/volume] in Serum or Plasma,Test: Asparagine | System: Ser/Plas | Units: mcmol/dL; mcmol/L; umol/L | Info: Genetic metabolic specialist (from Canada) point out that plasma may be the traditional sample of ch
20639-1,Aspartate [Moles/volume] in Serum or Plasma,Test: Aspartate | System: Ser/Plas | Units: mcmol/dL; mcmol/L; umol/L | Info: Genetic metabolic specialist (from Canada) point out that plasma may be the traditional sample of ch
20640-9,Citrulline [Moles/volume] in Serum or Plasma,Test: Citrulline | System: Ser/Plas | Units: mcmol/dL; mcmol/L; umol/L | Info: Genetic metabolic specialist (from Canada) point out that plasma may be the traditional sample of ch
20641-7,Cysteine [Moles/volume] in Serum or Plasma,Test: Cysteine | System: Ser/Plas | Units: umol/L | Info: Genetic metabolic specialist (from Canada) point out that plasma may be the traditional sample of ch
20642-5,Glutamate [Moles/volume] in Serum or Plasma,Test: Glutamate | System: Ser/Plas | Units: mcmol/dL; mcmol/L; umol/L | Info: Genetic metabolic specialist (from Canada) point out that plasma may be the traditional sample of ch
20643-3,Glutamine [Moles/volume] in Serum or Plasma,Test: Glutamine | System: Ser/Plas | Units: mcmol/dL; mcmol/L; umol/L | Info: Genetic metabolic specialist (from Canada) point out that plasma may be the traditional sample of ch
33223-9,Hyaline casts [#/area] in Urine sediment by Automated count,Test: Hyaline casts | System: Urine sed | Units: /HPF | Info: Automated counters measure the number concentration directly and calculate values for the per HPF (o
20644-1,Glycine [Moles/volume] in Serum or Plasma,Test: Glycine | System: Ser/Plas | Units: mcmol/dL; mcmol/L; umol/L | Info: Genetic metabolic specialist (from Canada) point out that plasma may be the traditional sample of ch
20645-8,Histidine [Moles/volume] in Serum or Plasma,Test: Histidine | System: Ser/Plas | Units: mcmol/dL; mcmol/L; umol/L | Info: Genetic metabolic specialist (from Canada) point out that plasma may be the traditional sample of ch
20646-6,Homocystine [Moles/volume] in Serum or Plasma,Test: Homocystine | System: Ser/Plas | Units: umol/L | Info: Genetic metabolic specialist (from Canada) point out that plasma may be the traditional sample of ch
20647-4,Hydroxyproline [Moles/volume] in Serum or Plasma,Test: Hydroxyproline | System: Ser/Plas | Units: mcmol/dL; mcmol/L; umol/L | Info: Genetic metabolic specialist (from Canada) point out that plasma may be the traditional sample of ch
1708-7,Acetylcholinesterase [Enzymatic activity/volume] in Amniotic fluid,Test: Acetylcholinesterase | System: Amnio fld | Units: arb U/L | Info: ACHE
1710-3,Acetylcholinesterase [Enzymatic activity/volume] in Serum or Plasma,Test: Acetylcholinesterase | System: Ser/Plas | Units: arb U/L | Info: ACHE
20648-2,Isoleucine [Moles/volume] in Serum or Plasma,Test: Isoleucine | System: Ser/Plas | Units: mcmol/dL; mcmol/L; umol/L | Info: Genetic metabolic specialist (from Canada) point out that plasma may be the traditional sample of ch
20649-0,Leucine [Moles/volume] in Serum or Plasma,Test: Leucine | System: Ser/Plas | Units: mcmol/dL; mcmol/L; umol/L | Info: Genetic metabolic specialist (from Canada) point out that plasma may be the traditional sample of ch
20650-8,Lysine [Moles/volume] in Serum or Plasma,Test: Lysine | System: Ser/Plas | Units: mcmol/dL; mcmol/L; umol/L | Info: Genetic metabolic specialist (from Canada) point out that plasma may be the traditional sample of ch
10835-7,Lipoprotein a [Mass/volume] in Serum or Plasma,Test: Lipoprotein (little a) | System: Ser/Plas | Units: mg/L;mg/dL | Info: Not same as Alpha Lipoprotein
13540-0,"Carbon dioxide, total [Moles/volume] in Cerebral spinal fluid",Test: Carbon dioxide | System: CSF | Units: mmol/L | Info: Confirmatory test for paroxysmal nocturnal hemoglobinuria (pnh)
13590-5,Activated protein C resistance [Time Ratio] in Platelet poor plasma by Coagulation assay,Test: Activated protein C resistance | System: PPP | Units: ratio | Info: APC Resistance is a ratio of aPTT with APC to aPTT without APC
20651-6,Methionine [Moles/volume] in Serum or Plasma,Test: Methionine | System: Ser/Plas | Units: mcmol/dL; mcmol/L; umol/L | Info: Genetic metabolic specialist (from Canada) point out that plasma may be the traditional sample of ch
104645-7,Glucosylceramide [Mass/volume] in Plasma by LC/MS/MS,Test: Glucosylceramide | System: Plas | Units: ug/mL | Info: This term is for the assay of Glucosylceramide (GL-1) biomarker level for Gaucher and Fabry patients
20652-4,Ornithine [Moles/volume] in Serum or Plasma,Test: Ornithine | System: Ser/Plas | Units: mcmol/dL; mcmol/L; umol/L | Info: Genetic metabolic specialist (from Canada) point out that plasma may be the traditional sample of ch
20654-0,Phosphoserine [Moles/volume] in Serum or Plasma,Test: Phosphoserine | System: Ser/Plas | Units: mcmol/dL; mcmol/L; umol/L | Info: Genetic metabolic specialist (from Canada) point out that plasma may be the traditional sample of ch
20655-7,Proline [Moles/volume] in Serum or Plasma,Test: Proline | System: Ser/Plas | Units: mcmol/dL; mcmol/L; umol/L | Info: Genetic metabolic specialist (from Canada) point out that plasma may be the traditional sample of ch
20656-5,Serine [Moles/volume] in Serum or Plasma,Test: Serine | System: Ser/Plas | Units: mcmol/dL; mcmol/L; umol/L | Info: Genetic metabolic specialist (from Canada) point out that plasma may be the traditional sample of ch
20657-3,Taurine [Moles/volume] in Serum or Plasma,Test: Taurine | System: Ser/Plas | Units: mcmol/dL; mcmol/L; umol/L | Info: Genetic metabolic specialist (from Canada) point out that plasma may be the traditional sample of ch
20658-1,Threonine [Moles/volume] in Serum or Plasma,Test: Threonine | System: Ser/Plas | Units: mcmol/dL; mcmol/L; umol/L | Info: Genetic metabolic specialist (from Canada) point out that plasma may be the traditional sample of ch
20659-9,Tryptophan [Moles/volume] in Serum or Plasma,Test: Tryptophan | System: Ser/Plas | Units: mcmol/dL; mcmol/L; umol/L | Info: Genetic metabolic specialist (from Canada) point out that plasma may be the traditional sample of ch
20660-7,Tyrosine [Moles/volume] in Serum or Plasma,Test: Tyrosine | System: Ser/Plas | Units: mcmol/dL; mcmol/L; umol/L | Info: Genetic metabolic specialist (from Canada) point out that plasma may be the traditional sample of ch
20661-5,Valine [Moles/volume] in Serum or Plasma,Test: Valine | System: Ser/Plas | Units: mcmol/dL; mcmol/L; umol/L | Info: Genetic metabolic specialist (from Canada) point out that plasma may be the traditional sample of ch
30895-7,Renin [Units/volume] in Plasma,Test: Renin | System: Plas | Units: mcU/mL; mU/L | Info: This term represents the amount of renin in International units.  WHO International Reference Prepar
18182-6,Osmolality of Serum or Plasma by calculated by sum of electrolytes,"Test: Observation | System: Ser/Plas | Units: mOsm/kg | Info: Calculated from glucose, bun, and sodium"
30897-3,Total Erythrocyte Volume by Scintigraphy,Test: Erythrocyte volume | System: ^Patient | Units: mL | Info: Total circulating erythrocyte volume is determined using Chromium-51 (or other isotope) labeled red 
43755-8,Casts [#/area] in Urine sediment by Automated count,Test: Casts | System: Urine sed | Units: /HPF | Info: Automated counters measure the number concentration directly and calculate values for the per HPF (o
46702-7,Leukocytes [#/area] in Urine sediment by Automated count,Test: Leukocytes | System: Urine sed | Units: /HPF | Info: Automated counters measure the number concentration directly and calculate values for the per HPF (o
47214-2,Homeostasis model assessment,Test: Homeostasis model assessment | System: Ser/Plas | Units: Index | Info: Used to quantify insulin resistance. Formulat is Glucose (mg/dL)) x Insulin (mU/mL) / 405 or Glucose
47539-2,3-Methylhistidine [Moles/volume] in DBS,Test: 3-Methylhistidine | System: Bld.dot | Units: umol/L | Info: The tentative opinion of the HTSP review (5/13/08) committee was that this marker has no clinical ut
48067-3,Fibrin D-dimer [Mass/volume] in Platelet poor plasma by Immunoassay.FEU,Test: Fibrin D-dimer | System: PPP | Units: ug/mL FEU | Info: D-dimer is considered a coagulation or hemostasis assay and will usually require platelet poor plasm
48664-7,Fibrinogen [Mass/volume] in Platelet poor plasma by Coagulation.derived,Test: Fibrinogen | System: PPP | Units: g/L | Info: The change in optical properties during the prothrombin time reaction is used to determine fibrinoge
49013-6,Pancreastatin [Mass/volume] in Serum or Plasma,Test: Pancreastatin | System: Ser/Plas | Units: pg/mL | Info: Pancreastatin is a 49 amino acid peptide first isolated from porcine pancreas. Pancreastatin has a p
49029-2,Cortisol Free/Cortisone free [Mass Ratio] in Urine,Test: Cortisol.free/Cortisone.free | System: Urine | Units: ug/ug | Info: Determining the ratio of urinary-free cortisol to cortisone is useful in evaluating patients with ap
49058-1,aPTT in Blood drawn from CRRT circuit by Coagulation assay,Test: Coagulation | System: BldCRRT | Units: s | Info: Test for Continuous Renal Replacement Therapy aPTT. Activated partial thromboplastin time (aPTT) per
49135-7,Fractional excretion of sodium [Ratio] in Urine and Serum or Plasma,"Test: Fractional excretion of sodium | System: Urine+Ser/Plas | Units: % | Info: The fractional excretion of sodium is calculated as follows, where the asterisk is being used to ind"
49136-5,Creatine kinase.MB/Creatine kinase.total [Ratio] in Serum or Plasma,"Test: Creatine kinase.MB/Creatine kinase.total | System: Ser/Plas | Units: % | Info: Sometimes called ""CK-MB mass/total CK activity-ratio"" this parameter is now often referred to as the"
49230-6,Acetylcholinesterase [Enzymatic activity/mass] in Red Blood Cells,Test: Acetylcholinesterase | System: RBC | Units: U/g Hb | Info: Used in diagnosis of pesticide toxicity or succinylcholine toxicity. Also used to evaluate paroxysma
49231-4,Cholinesterase [Enzymatic activity/mass] in Red Blood Cells,Test: Cholinesterase | System: RBC | Units: U/g Hb | Info: The best test for detecting chronic organophosphate poisoning-preferred over serum acetylcholinester
49333-8,Galactitol [Moles/volume] in Amniotic fluid,Test: Galactitol | System: Amnio fld | Units: umol/L | Info: useful for prenatal diagnosis of Galactosemia
49505-1,Erythrocyte clumps [#/area] in Urine sediment by Automated count,Test: Erythrocyte clumps | System: Urine sed | Units: /HPF | Info: Automated counters measure the number concentration directly and calculate values for the per HPF (o
50057-9,Fractional excretion of phosphate [Ratio] in Urine and Serum or Plasma collected for unspecified duration,Test: Fractional excretion of phosphate | System: Urine+Ser/Plas | Units: % | Info: (Ph U x Creat Ser) / (Ph Ser x Creat U) x 100
50233-6,Leukocyte clumps [#/area] in Urine sediment by Automated count,Test: Leukocyte clumps | System: Urine sed | Units: /HPF | Info: Automated counters measure the number concentration directly and calculate values for the per HPF (o
50235-1,Mucus [#/area] in Urine sediment by Automated count,Test: Mucus | System: Urine sed | Units: /HPF | Info: Automated counters measure the number concentration directly and calculate values for the per HPF (o
50366-4,Prolactin monomeric/Prolactin.total in Serum or Plasma,Test: Prolactin.monomeric/Prolactin.total | System: Ser/Plas | Units: % | Info: Prolactin is measured before and after PEG-treatment of the sample. The PEG treatment precipitates t
50378-9,von Willebrand factor (vWf).collagen binding activity/von Willebrand factor Ag [Ratio] in Platelet poor plasma by Immunoassay,Test: von Willebrand factor.collagen binding activity/von Willebrand factor Ag | System: PPP | Units: ratio | Info: This term represents a ratio of two results that are expressed as percentages of normal: the von Wil
50675-8,Calcium-phosphorus product [(Mass/volume)*2] in Serum or Plasma,Test: Calcium-phosphorus product | System: Ser/Plas | Units: mg2/dL2 | Info: Calcium x Phosphate
50982-8,Horowitz index in Blood,Test: Horowitz index | System: Bld+Inhl gas | Units: mm Hg | Info: A ratio with numerator = oxygen partial pressure (PaO2) in mmHg and denominator = fraction of inspir
